Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium,Gender_F,Gender_M
5,3,214.0,3,3,2923.0,0,1,0,0,0,0,0,1,0,0,1,1,0
5,2,214.0,3,14,2984.0,0,0,0,0,1,0,0,1,0,1,0,0,1
5,4,160.0,4,6,1603.0,1,0,0,0,0,0,0,1,0,1,0,1,0
5,3,250.0,5,12,2722.0,0,1,0,0,0,0,0,1,0,1,0,0,1
4,2,174.0,3,9,1682.0,0,0,1,0,0,0,0,1,0,1,0,0,1
3,1,215.0,3,2,3873.0,0,1,0,0,0,0,0,1,0,0,1,1,0
5,1,206.0,2,2,3490.0,0,0,1,0,0,0,1,0,0,1,0,0,1
5,5,261.0,3,8,3257.0,0,0,0,1,0,0,1,0,0,0,1,1,0
2,4,179.0,2,19,1900.0,0,1,0,0,0,0,1,0,0,1,0,1,0
2,3,154.0,4,17,1897.0,1,0,0,0,0,0,1,0,1,0,0,1,0
4,4,228.0,3,12,3359.0,0,1,0,0,0,0,1,0,0,0,1,1,0
5,4,245.0,5,6,3592.0,0,0,0,0,1,1,0,0,0,1,0,0,1
3,4,214.0,3,8,1567.0,0,1,0,0,0,1,0,0,0,0,1,1,0
3,4,214.0,2,8,1145.0,0,0,0,1,0,1,0,0,0,1,0,0,1
5,4,250.0,3,11,3373.0,1,0,0,0,0,1,0,0,0,1,0,1,0
5,4,189.0,5,3,3301.0,0,1,0,0,0,1,0,0,0,1,0,0,1
3,3,255.0,2,7,3311.0,0,0,1,0,0,1,0,0,1,0,0,0,1
4,2,164.0,3,15,1489.0,0,0,0,1,0,1,0,0,0,0,1,0,1
2,5,157.0,6,17,1764.0,0,1,0,0,0,1,0,0,1,0,0,1,0
3,2,137.0,2,17,1673.0,0,0,1,0,0,1,0,0,0,0,1,0,1
3,3,229.0,3,14,2164.0,0,0,0,0,1,1,0,0,0,1,0,0,1
5,2,268.0,3,19,2526.0,0,1,0,0,0,0,0,1,0,1,0,0,1
4,5,265.0,2,18,2969.0,0,0,0,0,1,0,0,1,0,0,1,1,0
2,2,236.0,3,3,3416.0,0,0,0,1,0,0,0,1,0,0,1,0,1
4,2,179.0,4,1,1063.0,0,0,0,0,1,0,0,1,0,1,0,0,1
3,2,173.0,3,15,1992.0,1,0,0,0,0,0,0,1,0,1,0,1,0
3,3,234.0,3,8,2334.0,0,1,0,0,0,0,0,1,0,0,1,1,0
3,5,194.0,2,4,3496.0,0,0,0,0,1,0,0,1,0,0,1,0,1
3,1,201.0,6,3,2497.0,0,0,0,1,0,0,0,1,0,0,1,1,0
3,2,260.0,3,2,2176.0,0,0,1,0,0,0,0,1,0,0,1,1,0
4,1,140.0,3,1,1464.0,0,0,0,0,1,0,0,1,0,0,1,1,0
4,4,158.0,3,11,1224.0,0,1,0,0,0,0,0,1,0,0,1,0,1
4,5,247.0,2,18,2404.0,0,0,0,0,1,0,0,1,0,0,1,1,0
5,5,143.0,2,18,1066.0,0,0,1,0,0,0,0,1,1,0,0,1,0
5,3,245.0,2,8,4157.5,0,0,0,0,1,0,0,1,0,0,1,1,0
3,5,224.0,2,13,3891.0,0,0,0,0,1,0,0,1,0,1,0,0,1
3,4,253.0,3,6,3788.0,0,0,1,0,0,0,0,1,0,1,0,0,1
4,5,245.0,2,19,2616.0,0,0,0,0,1,0,0,1,0,1,0,1,0
3,1,141.0,3,6,1361.0,0,0,1,0,0,0,0,1,0,1,0,0,1
4,4,157.0,2,2,1087.0,0,0,1,0,0,0,0,1,0,1,0,1,0
4,1,240.0,2,14,2437.0,0,0,0,1,0,0,0,1,0,1,0,0,1
5,2,105.0,4,1,1622.0,0,0,0,0,1,0,0,1,1,0,0,0,1
4,3,202.0,3,2,3962.0,0,0,0,1,0,0,0,1,0,0,1,0,1
3,4,164.0,3,13,1158.0,1,0,0,0,0,0,0,1,0,0,1,0,1
5,2,209.0,4,12,2933.0,0,0,1,0,0,0,0,1,0,0,1,1,0
3,1,157.0,2,19,1898.0,0,0,0,0,1,0,0,1,1,0,0,0,1
4,5,249.0,2,4,2725.0,0,0,0,1,0,0,0,1,0,1,0,0,1
3,1,242.0,3,10,3606.0,0,1,0,0,0,0,0,1,0,0,1,1,0
5,3,138.0,2,13,1056.0,0,0,0,0,1,0,1,0,0,1,0,0,1
5,1,158.0,3,9,4157.5,0,0,0,1,0,0,1,0,0,1,0,0,1
5,3,146.0,4,5,1718.0,0,0,0,0,1,0,1,0,0,1,0,0,1
3,3,243.0,2,17,3230.0,0,0,0,0,1,0,1,0,0,0,1,0,1
4,3,244.0,3,1,3982.0,0,0,1,0,0,0,1,0,0,0,1,0,1
5,4,263.0,3,10,2538.0,0,0,0,1,0,0,1,0,1,0,0,0,1
4,5,202.0,3,6,2616.0,1,0,0,0,0,0,1,0,0,1,0,1,0
4,4,227.0,3,1,2761.0,0,1,0,0,0,0,1,0,0,0,1,1,0
4,5,189.0,2,15,2457.0,0,0,1,0,0,0,1,0,0,1,0,1,0
4,2,241.0,2,17,4157.5,0,0,0,0,1,1,0,0,0,1,0,0,1
4,2,187.0,2,6,3625.0,1,0,0,0,0,1,0,0,0,1,0,1,0
5,2,170.0,3,15,1314.0,0,0,1,0,0,1,0,0,0,1,0,0,1
4,1,250.0,2,17,3544.0,1,0,0,0,0,1,0,0,0,1,0,0,1
3,3,207.0,7,19,2182.0,0,1,0,0,0,1,0,0,0,0,1,0,1
3,5,151.0,2,16,1422.0,0,0,0,0,1,1,0,0,0,1,0,1,0
5,1,200.0,8,18,3806.0,1,0,0,0,0,0,0,1,0,1,0,1,0
3,3,241.0,3,5,2713.0,0,0,0,0,1,0,0,1,0,1,0,0,1
3,3,273.0,2,16,2466.0,0,0,0,0,1,0,0,1,0,0,1,1,0
4,1,137.0,4,15,1391.0,0,0,0,0,1,0,0,1,1,0,0,0,1
5,3,170.0,3,12,1018.0,0,0,0,1,0,0,0,1,0,1,0,1,0
5,3,150.0,2,2,1682.0,1,0,0,0,0,0,0,1,0,1,0,0,1
4,2,214.0,3,18,2574.0,0,0,0,1,0,0,0,1,0,1,0,1,0
3,1,151.0,2,4,1748.0,0,1,0,0,0,0,0,1,0,1,0,1,0
4,5,264.0,3,16,2245.0,0,0,1,0,0,0,0,1,0,0,1,0,1
6,3,281.0,3,11,2135.0,0,0,0,1,0,0,0,1,0,0,1,0,1
3,4,265.0,8,2,3622.0,1,0,0,0,0,0,0,1,0,1,0,0,1
5,3,200.0,8,9,2741.0,0,0,1,0,0,0,0,1,0,1,0,1,0
2,1,111.0,2,10,4157.5,0,0,0,0,1,0,0,1,1,0,0,1,0
3,2,223.0,3,6,2127.0,0,0,0,1,0,0,0,1,0,0,1,1,0
4,4,177.0,2,6,1112.0,0,1,0,0,0,0,0,1,0,1,0,0,1
4,5,185.0,3,17,4157.5,0,0,0,0,1,0,0,1,0,0,1,0,1
3,3,162.0,3,7,1901.0,0,0,0,0,1,0,0,1,0,0,1,0,1
5,1,227.0,3,14,2589.0,0,1,0,0,0,0,0,1,0,1,0,1,0
3,5,258.0,3,17,3033.0,0,0,0,0,1,0,0,1,0,1,0,0,1
4,5,195.0,5,10,3537.0,0,0,0,1,0,0,0,1,0,0,1,1,0
4,1,224.0,2,8,3638.0,0,0,0,0,1,0,0,1,0,1,0,0,1
5,3,235.0,2,12,3358.0,0,0,1,0,0,0,0,1,0,0,1,1,0
4,2,259.0,4,13,2495.0,0,1,0,0,0,0,0,1,0,1,0,1,0
2,1,249.0,3,11,2534.0,0,0,1,0,0,0,0,1,0,1,0,0,1
4,3,141.0,3,2,1915.0,0,0,0,1,0,0,0,1,0,1,0,1,0
4,1,114.0,3,9,1240.0,0,0,0,0,1,0,0,1,0,0,1,1,0
5,1,234.0,2,12,2372.0,0,1,0,0,0,0,0,1,0,1,0,0,1
4,5,252.0,3,16,2332.0,0,0,0,1,0,0,0,1,0,1,0,0,1
4,2,210.0,3,16,2046.0,0,0,0,1,0,0,0,1,0,1,0,0,1
4,3,257.0,3,5,2489.0,0,0,0,0,1,0,0,1,0,0,1,0,1
4,5,255.0,4,14,3099.0,1,0,0,0,0,0,0,1,0,1,0,0,1
4,3,184.0,3,19,2774.0,0,0,0,1,0,0,1,0,0,0,1,1,0
3,4,261.0,2,1,3398.0,0,1,0,0,0,0,1,0,0,0,1,1,0
4,4,224.0,3,9,4157.5,0,0,0,0,1,0,1,0,0,0,1,0,1
5,3,216.0,3,1,2434.0,0,0,0,1,0,0,1,0,0,0,1,1,0
4,5,191.0,3,19,2392.0,1,0,0,0,0,0,1,0,0,1,0,1,0
3,2,140.0,2,7,4157.5,0,1,0,0,0,0,1,0,1,0,0,1,0
3,4,262.0,2,15,3287.0,1,0,0,0,0,1,0,0,0,1,0,0,1
3,1,186.0,3,11,3800.0,0,0,1,0,0,1,0,0,0,0,1,1,0
3,1,142.0,2,18,1428.0,1,0,0,0,0,1,0,0,1,0,0,0,1
4,4,201.0,3,7,2644.0,1,0,0,0,0,1,0,0,1,0,0,1,0
2,3,251.0,3,2,3351.0,0,0,1,0,0,1,0,0,0,1,0,1,0
5,4,271.0,3,16,2563.0,0,0,0,1,0,1,0,0,0,0,1,1,0
5,2,278.0,2,17,2493.0,0,1,0,0,0,1,0,0,0,1,0,1,0
2,4,168.0,3,15,1886.0,0,0,1,0,0,1,0,0,0,1,0,1,0
5,2,151.0,6,12,1920.0,0,0,0,0,1,0,0,1,0,0,1,0,1
3,1,232.0,3,9,4157.5,0,0,0,1,0,0,0,1,0,1,0,0,1
3,2,140.0,2,16,1685.0,0,0,0,0,1,0,0,1,0,1,0,1,0
4,4,140.0,3,11,1911.0,0,0,0,1,0,0,0,1,0,0,1,0,1
4,2,170.0,2,1,1446.0,0,0,1,0,0,0,0,1,0,1,0,1,0
5,4,279.0,2,1,3933.0,0,0,0,0,1,0,0,1,0,0,1,1,0
4,3,121.0,2,11,1906.0,1,0,0,0,0,0,0,1,0,0,1,0,1
4,3,119.0,5,5,1841.0,0,0,0,1,0,0,0,1,0,0,1,0,1
3,4,187.0,2,8,3725.0,0,0,0,1,0,0,0,1,1,0,0,0,1
4,3,261.0,3,10,2802.0,0,1,0,0,0,0,0,1,0,1,0,1,0
3,1,218.0,3,4,4157.5,0,0,1,0,0,0,0,1,0,1,0,0,1
4,2,208.0,3,17,2777.0,0,0,0,0,1,0,0,1,1,0,0,0,1
3,1,178.0,5,15,1242.0,1,0,0,0,0,0,0,1,0,1,0,1,0
6,1,205.0,5,14,3213.0,1,0,0,0,0,0,0,1,0,1,0,0,1
5,2,244.0,3,8,3571.0,0,1,0,0,0,0,0,1,0,1,0,0,1
3,4,169.0,2,17,1242.0,0,0,0,1,0,0,0,1,0,1,0,0,1
3,2,251.0,2,5,3443.0,0,0,0,0,1,0,0,1,0,1,0,1,0
2,2,161.0,2,1,1642.0,1,0,0,0,0,0,0,1,0,0,1,1,0
4,2,271.0,3,19,2693.0,0,0,1,0,0,0,0,1,0,1,0,1,0
3,5,212.0,3,6,2069.0,0,0,0,1,0,0,0,1,1,0,0,0,1
3,4,255.0,4,12,2266.0,0,1,0,0,0,0,0,1,0,1,0,1,0
4,1,166.0,3,3,1453.0,0,0,1,0,0,0,0,1,1,0,0,1,0
4,2,162.0,2,16,1014.0,1,0,0,0,0,0,0,1,0,1,0,0,1
3,5,242.0,3,19,3753.0,0,0,1,0,0,0,0,1,0,0,1,0,1
4,1,143.0,2,3,1996.0,0,1,0,0,0,0,0,1,0,0,1,0,1
4,4,147.0,3,13,1145.0,0,0,0,0,1,0,0,1,0,1,0,0,1
4,4,161.0,3,6,1386.0,0,0,0,1,0,0,0,1,0,1,0,1,0
4,1,258.0,3,3,3928.0,0,1,0,0,0,0,0,1,0,0,1,0,1
5,3,188.0,7,3,3637.0,0,0,0,0,1,0,0,1,0,0,1,0,1
3,4,188.0,3,11,3072.0,0,0,0,1,0,0,0,1,1,0,0,0,1
4,1,208.0,7,8,4157.5,0,0,1,0,0,0,0,1,1,0,0,0,1
3,3,153.0,5,12,1972.0,0,0,0,0,1,0,0,1,0,1,0,1,0
4,3,162.0,2,2,4157.5,0,0,0,1,0,0,0,1,0,1,0,0,1
3,5,242.0,3,3,2268.0,1,0,0,0,0,0,1,0,0,0,1,1,0
5,1,253.0,6,12,2486.0,0,0,1,0,0,0,1,0,0,0,1,0,1
5,2,208.0,3,8,3442.0,0,0,0,0,1,0,1,0,0,0,1,0,1
5,3,236.0,3,7,3589.0,1,0,0,0,0,0,1,0,0,0,1,0,1
4,1,147.0,3,15,1956.0,0,1,0,0,0,0,1,0,0,1,0,1,0
2,1,113.0,5,9,1957.0,0,0,1,0,0,0,1,0,0,1,0,1,0
4,5,274.0,10,5,3910.0,1,0,0,0,0,0,1,0,0,0,1,1,0
4,1,264.0,2,8,2436.0,0,0,0,0,1,0,1,0,0,1,0,0,1
3,3,255.0,2,3,2894.0,0,0,0,1,0,0,1,0,0,0,1,0,1
5,2,261.0,8,1,3308.0,1,0,0,0,0,0,1,0,0,0,1,1,0
3,5,188.0,3,9,4157.5,0,0,1,0,0,0,1,0,1,0,0,1,0
2,1,121.0,2,18,1839.0,0,1,0,0,0,1,0,0,0,0,1,1,0
3,5,173.0,2,14,1638.0,0,0,0,0,1,1,0,0,0,1,0,0,1
5,3,96.0,4,12,1655.0,1,0,0,0,0,1,0,0,0,0,1,1,0
3,5,243.0,3,4,3189.0,0,1,0,0,0,0,0,1,0,0,1,0,1
3,2,175.0,4,17,1276.0,0,0,1,0,0,0,0,1,0,0,1,1,0
5,4,133.0,3,9,1051.0,0,0,0,0,1,0,0,1,0,1,0,0,1
4,3,136.0,3,9,1548.0,1,0,0,0,0,0,0,1,0,0,1,0,1
4,3,210.0,3,6,2568.0,0,1,0,0,0,0,0,1,0,0,1,1,0
4,3,151.0,4,13,1583.0,0,0,0,1,0,0,0,1,0,0,1,0,1
3,3,271.0,2,15,3542.0,0,1,0,0,0,0,0,1,0,0,1,0,1
4,3,191.0,4,15,2544.0,0,0,1,0,0,0,0,1,0,1,0,1,0
3,3,241.0,5,8,2182.0,0,0,0,1,0,0,0,1,0,1,0,0,1
3,3,254.0,3,3,2837.0,0,0,0,0,1,0,0,1,0,0,1,0,1
4,5,170.0,3,9,1138.0,0,0,0,0,1,0,0,1,0,1,0,1,0
4,1,265.0,2,18,3327.0,0,0,0,1,0,0,0,1,0,0,1,0,1
4,4,142.0,4,8,1777.0,0,0,0,0,1,0,0,1,0,1,0,1,0
4,5,262.0,4,16,2871.0,0,1,0,0,0,0,0,1,0,1,0,0,1
3,2,167.0,2,2,1010.0,0,0,1,0,0,0,0,1,0,1,0,0,1
3,1,226.0,2,18,2319.0,0,0,0,0,1,0,0,1,0,1,0,0,1
3,1,138.0,5,8,1349.0,0,0,0,1,0,0,0,1,0,0,1,1,0
